sep=	
Time	Channel1	Channel2
-0,025	7,6539	0,699295
-0,024900000000000002	-7,9008	-1,053056
-0,024800000000000003	-7,9008	-1,053056
-0,0247	-7,9008	-1,053056
-0,0246	-7,8185	-1,053056
-0,0245	-7,8185	-1,053056
-0,0244	-7,8185	-1,053056
-0,024300000000000002	-7,6539	-1,053056
-0,024200000000000003	-7,6539	-1,053056
-0,0241	-7,6539	-1,053056
-0,024	-7,6539	-1,053056
-0,0239	-7,6539	-1,053056
-0,0238	-7,4893	-1,053056
-0,023700000000000002	-7,4893	-1,053056
-0,0236	-7,4893	-1,053056
-0,0235	-7,4893	-1,053056
-0,0234	-7,407	-1,053056
-0,0233	-7,407	-1,053056
-0,023200000000000002	-7,407	-1,053056
-0,023100000000000002	-7,3247	-1,053056
-0,023	-7,3247	-1,053056
-0,0229	-7,3247	-1,053056
-0,0228	-7,2424	-1,053056
-0,0227	-7,1601	-1,053056
-0,022600000000000002	-7,1601	-1,053056
-0,022500000000000003	-7,0778	-1,053056
-0,0224	-7,1601	-1,053056
-0,0223	-7,1601	-1,053056
-0,0222	-7,0778	-1,053056
-0,0221	-6,9955	-1,053056
-0,022000000000000002	-6,9955	-1,053056
-0,0219	-6,9132	-1,053056
-0,0218	-6,9132	-1,053056
-0,0217	-6,9132	-1,053056
-0,0216	-6,9132	-1,053056
-0,021500000000000002	-6,8309	-1,053056
-0,021400000000000002	-6,8309	-1,053056
-0,0213	-6,7486	-1,053056
-0,0212	-6,7486	-1,053056
-0,0211	-6,7486	-1,053056
-0,021	-6,7486	-1,053056
-0,020900000000000002	-6,6663	-1,053056
-0,020800000000000003	-6,584	-1,053056
-0,0207	-6,584	-1,053056
-0,0206	-6,5017	-1,053056
-0,0205	-6,584	-1,053056
-0,0204	-6,5017	-1,053056
-0,020300000000000002	-6,4193999999999996	-1,053056
-0,020200000000000003	-6,4193999999999996	-1,053056
-0,0201	-6,4193999999999996	-1,053056
-0,02	-6,4193999999999996	-1,053056
-0,0199	-6,3370999999999995	-1,053056
-0,0198	-6,2547999999999995	-1,053056
-0,019700000000000002	-6,2547999999999995	-1,053056
-0,0196	-6,172499999999999	-1,053056
-0,0195	-6,172499999999999	-1,053056
-0,0194	-6,172499999999999	-1,053056
-0,0193	-6,172499999999999	-1,053056
-0,019200000000000002	-6,0902	-1,053056
-0,019100000000000002	-6,0902	-1,053056
-0,019	-6,0902	-1,053056
-0,0189	-6,0902	-1,053056
-0,0188	-5,9256	-1,053056
-0,0187	-6,0079	-1,053056
-0,018600000000000002	-5,9256	-1,053056
-0,018500000000000003	-5,9256	-1,053056
-0,0184	-5,8433	-1,053056
-0,0183	-5,8433	-1,053056
-0,0182	-5,761	-1,053056
-0,0181	-5,761	-1,053056
-0,018000000000000002	-5,761	-1,053056
-0,0179	-5,6787	-1,053056
-0,0178	-5,5964	-1,053056
-0,0177	-5,6787	-1,053056
-0,0176	-5,6787	-1,053056
-0,0175	-5,5964	-1,053056
-0,017400000000000002	-5,5141	-1,053056
-0,0173	-5,5141	-1,053056
-0,0172	-5,4318	-1,053056
-0,0171	-5,4318	-1,053056
-0,017	-5,4318	-1,053056
-0,016900000000000002	-5,3495	-1,053056
-0,016800000000000002	-5,3495	-1,053056
-0,0167	-5,3495	-1,053056
-0,0166	-5,2672	-1,053056
-0,0165	-5,2672	-1,053056
-0,0164	-5,2672	-1,053056
-0,016300000000000002	-5,1849	-1,053056
-0,0162	-5,1026	-1,053056
-0,0161	-5,1026	-1,053056
-0,016	-5,1026	-1,053056
-0,0159	-5,1026	-1,053056
-0,0158	-5,0203	-1,053056
-0,015700000000000002	-4,938	-1,053056
-0,015600000000000001	-4,938	-1,053056
-0,0155	-4,938	-1,053056
-0,0154	-4,8557	-1,053056
-0,015300000000000001	-4,8557	-1,053056
-0,0152	-4,8557	-1,053056
-0,0151	-4,7734	-1,053056
-0,015000000000000001	-4,7734	-1,053056
-0,0149	-4,7734	-1,053056
-0,0148	-4,6911	-1,053056
-0,014700000000000001	-4,6911	-1,053056
-0,0146	-4,6911	-1,053056
-0,0145	-4,6088	-1,053056
-0,014400000000000001	-4,6088	-1,053056
