Time;Channel1;Channel2;Ch1 - Ch2
-0,0117;-3,7035;-1,053056;-2,650444
-0,0116;-3,7035;-1,053056;-2,650444
-0,0115;-3,6212;-1,053056;-2,568144
-0,0114;-3,6212;-1,053056;-2,568144
-0,0113;-3,5389;-1,053056;-2,485844
-0,0112;-3,5389;-1,053056;-2,485844
-0,0111;-3,5389;-1,053056;-2,485844
-0,011;-3,4566;-1,053056;-2,403544
-0,0109;-3,4566;-1,053056;-2,403544
-0,0108;-3,4566;-1,053056;-2,403544
-0,0107;-3,4566;-1,053056;-2,403544
-0,0106;-3,3743;-1,053056;-2,321244
-0,0105;-3,3743;-1,053056;-2,321244
-0,0104;-3,3743;-1,053056;-2,321244
-0,0103;-3,292;-1,053056;-2,238944
-0,0102;-3,2097;-1,053056;-2,156644
-0,0101;-3,2097;-1,053056;-2,156644
-0,01;-3,2097;-1,053056;-2,156644
-0,0099;-3,1274;-1,053056;-2,074344
-0,0098;-3,1274;-1,053056;-2,074344
-0,0097;-3,1274;-1,053056;-2,074344
-0,0096;-3,1274;-1,053056;-2,074344
-0,0095;-2,9628;-1,053056;-1,909744
-0,0094;-2,9628;-1,053056;-1,909744
-0,0093;-2,9628;-1,053056;-1,909744
-0,0092;-2,9628;-1,053056;-1,909744
-0,0091;-2,9628;-1,053056;-1,909744
-0,009;-2,8805;-1,053056;-1,827444
-0,0089;-2,7982;-1,053056;-1,745144
-0,0088;-2,8805;-1,053056;-1,827444
-0,0087;-2,7982;-1,053056;-1,745144
-0,0086;-2,7982;-1,053056;-1,745144
-0,0085;-2,7159;-1,053056;-1,662844
-0,0084;-2,6336;-1,053056;-1,580544
-0,0083;-2,6336;-1,053056;-1,580544
-0,0082;-2,6336;-1,053056;-1,580544
-0,0081;-2,5513;-1,053056;-1,498244
-0,008;-2,5513;-1,053056;-1,498244
-0,0079;-2,5513;-1,053056;-1,498244
-0,0078;-2,469;-1,053056;-1,415944
-0,0077;-2,469;-1,053056;-1,415944
-0,0076;-2,469;-1,053056;-1,415944
-0,0075;-2,3867;-1,053056;-1,333644
-0,0074;-2,3867;-1,053056;-1,333644
-0,0073;-2,3867;-1,053056;-1,333644
-0,0072;-2,3044;-1,053056;-1,251344
-0,0071;-2,3044;-1,053056;-1,251344
-0,007;-2,2221;-1,053056;-1,169044
-0,0069;-2,2221;-1,053056;-1,169044
-0,0068;-2,2221;-1,053056;-1,169044
-0,0067;-2,1398;-1,053056;-1,086744
-0,0066;-2,1398;-1,053056;-1,086744
-0,0065;-2,0575;-1,053056;-1,004444
-0,0064;-2,0575;-1,053056;-1,004444
-0,0063;-1,9752;-1,053056;-0,922144
-0,0062;-1,9752;-1,053056;-0,922144
-0,0061;-1,8929;-1,053056;-0,839844
-0,006;-1,8929;-1,053056;-0,839844
-0,0059;-1,8929;-1,053056;-0,839844
-0,0058;-1,8106;-1,053056;-0,757544
-0,0057;-1,8106;-1,053056;-0,757544
-0,0056;-1,8106;-1,053056;-0,757544
-0,0055;-1,7283;-1,053056;-0,675244
-0,0054;-1,7283;-1,053056;-0,675244
-0,0053;-1,646;-1,053056;-0,592944
-0,0052;-1,646;-1,053056;-0,592944
-0,0051;-1,646;-1,053056;-0,592944
-0,005;-1,5637;-1,053056;-0,510644
-0,0049;-1,5637;-1,053056;-0,510644
-0,0048;-1,4814;-1,053056;-0,428344
-0,0047;-1,4814;-1,053056;-0,428344
-0,0046;-1,3991;-1,053056;-0,346044
-0,0045;-1,3991;-1,053056;-0,346044
-0,0044;-1,3991;-1,053056;-0,346044
-0,0043;-1,3168;-1,053056;-0,263744
-0,0042;-1,3168;-1,053056;-0,263744
-0,0041;-1,3168;-1,053056;-0,263744
-0,004;-1,2345;-1,053056;-0,181444
-0,0039;-1,2345;-1,053056;-0,181444
-0,0038;-1,2345;-1,053056;-0,181444
-0,0037;-1,1522;-1,053056;-0,099144
-0,0036;-1,1522;-1,053056;-0,099144
-0,0035;-1,1522;-1,053056;-0,099144
-0,0034;-1,0699;-1,053056;-0,016844
-0,0033;-1,0699;-1,053056;-0,016844
-0,0032;-0,9876;-1,044829;0,057229
-0,0031;-0,9876;-1,020148;0,032548
-0,003;-0,9053;-0,98724;0,08194
-0,0029;-0,9053;-0,946105;0,040805
-0,0028;-0,9053;-0,921424;0,016124
-0,0027;-0,9053;-0,880289;-0,025011
-0,0026;-0,823;-0,863835;0,040835
-0,0025;-0,823;-0,8227;-0,0003
-0,0024;-0,823;-0,789792;-0,033208
-0,0023;-0,7407;-0,765111;0,024411
-0,0022;-0,7407;-0,732203;-0,008497
-0,0021;-0,6584;-0,691068;0,032668
-0,002;-0,6584;-0,674614;0,016214
-0,0019;-0,5761;-0,633479;0,057379
-0,0018;-0,4938;-0,600571;0,106771
-0,0017;-0,4938;-0,559436;0,065636
-0,0016;-0,4938;-0,534755;0,040955
-0,0015;-0,4115;-0,501847;0,090347
-0,0014;-0,4115;-0,468939;0,057439
-0,0013;-0,4115;-0,444258;0,032758
-0,0012;-0,3292;-0,41135;0,08215
-0,0011;-0,3292;-0,386669;0,057469
-0,001;-0,3292;-0,345534;0,016334
-0,0009;-0,3292;-0,320853;-0,008347
-0,0008;-0,2469;-0,287945;0,041045
-0,0007;-0,1646;-0,255037;0,090437
-0,0006;-0,2469;-0,222129;-0,024771
-0,0005;-0,1646;-0,189221;0,024621
-0,0004;-0,0823;-0,156313;0,074013
-0,0003;-0,0823;-0,123405;0,041105
-0,0002;-0,0823;-0,090497;0,008197
-0,0001;0;-0,065816;0,065816
0;0;-0,024681;0,024681
0,0001;0,0823;0,008227;0,074073
0,0002;0,0823;0,032908;0,049392
0,0003;0,0823;0,065816;0,016484
0,0004;0,1646;0,098724;0,065876
0,0005;0,1646;0,131632;0,032968
0,0006;0,1646;0,16454;6E-05
0,0007;0,2469;0,189221;0,057679
0,0008;0,2469;0,222129;0,024771
0,0009;0,3292;0,263264;0,065936
0,001;0,3292;0,296172;0,033028
0,0011;0,4115;0,32908;0,08242
0,0012;0,4115;0,353761;0,057739
0,0013;0,4115;0,386669;0,024831
0,0014;0,4115;0,41135;0,00015
0,0015;0,4938;0,436031;0,057769
0,0016;0,4938;0,460712;0,033088
0,0017;0,5761;0,468939;0,107161
0,0018;0,5761;0,485393;0,090707
0,0019;0,5761;0,501847;0,074253
0,002;0,6584;0,510074;0,148326
0,0021;0,6584;0,518301;0,140099
0,0022;0,7407;0,526528;0,214172
0,0023;0,7407;0,534755;0,205945
